ORF	NAME	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YBL003C	HTA2   CHROMATIN STRUCTURE    HISTONE H2A	-2.12	-3.06	-1.6	-1.06	0.48	0.63	0.39	0.54	-0.92	-0.89	-1.69	-0.67	0.26	0.76	0.66	0.79	-0.45	-0.6	-1.69	-0.74	-0.25	-1	-0.4	0.38	0.5	0.98	0.76	0.49	0.33	0.39	-0.12	-0.64	-1.32	-0.86	1.23	1.46	0.1	-1.36	-1.15	1.08	1.76	0.82	0.03	-1.18	-0.84	-0.22	0.25	0.31	0.4	-0.04	-0.3	-0.84	-1.36	0.24	-0.22	-0.92	1.12	-0.81	-0.17	-0.92	-1.56	-2.84	-0.97	-0.84	-0.14	-0.15	-0.23	-1.09	-0.32		-1.74	-1.32	0.12	0.33	0.5	0.4	0.18	0.18	-0.84
YDR224C	HTB1   CHROMATIN STRUCTURE    HISTONE H2B	-1.94	-2	-1.79	-0.4	0.86	0.72	0.51	-0.51	-0.56	-1.15	-1.18	-0.69	0.55	0.51	0.66	-0.12	-0.36	-0.86	-1.18	-1.43	-1.09	-0.84	-0.06	0.52	0.58	1.06	0.7	0.6	0.64	0.42	0.06	-0.51	-1.12	-0.54	1.83	1.76	-0.1	-1.6	-0.89	1.12	1.83	1.4	0.21	-1.25	-0.32	0.15	0.76	0.08	0.55	0.59	0.23	-0.71	-0.92	0.2	-0.4	-1.56	1.55	-0.1	-0.29	-0.6	-1.56	-2	-0.58	-1.09	0.12	-0.1	-0.23	-0.92	-0.1	-0.07	-0.23	-0.86	0.36	0.23	0.19	-0.01	0.03	-0.2	-1
YBL002W	HTB2   CHROMATIN STRUCTURE    HISTONE H2B	-2.47	-2.4	-2.06	-0.62	0.8	0.28	0.43	0.2	-0.74	-1.18	-1.51	-0.43	0.46	0.89	0.87	0.88	-0.25	-0.42	-1.84	-1.43	-1.32	-0.79	-0.1	0.51	0.97	0.68	0.66	0.21	0.33	0.38	-0.34	-0.86	-0.12	-1.4	1.23	0.85	-0.69	-1.84	-1.4	0.93	1.38	0.36	-0.47	0.46	-0.92	-0.6		0.39	0.71	0.74	0.25	-0.29	-0.45	0.58	-0.01	-0.84	1.83	0.12	-0.2	-0.23	-1.36	-1.94	-0.07	-0.54	0.23	-0.4	0.04	-0.84	0.08	0.07	-1.29	-0.84	0.34	0.32	0.1	-0.09		0.04	-0.58
YOL156W	HXT11  TRANSPORT        HEXOSE PERMEASE	0.5	0.26	0.44	0.04	0.25	-0.2	0.12	-0.49	-0.29	-0.1	0.23	0.24	0.24		-0.06	-0.64	-0.4	0.65	-0.36	-0.32	-0.58	-0.84	-0.51	-0.58	-0.38	-0.25	-0.23	-0.18	-0.34	-0.14	-0.71	-0.22	-0.09	0.92	0.19	0.61	-0.2	-0.64	0.29	-0.27	-0.4	-0.14	-0.32	-0.29	0.16	0.25	0.04	-0.38	0.39	1.19	1.33	1.18	0.97	-0.43	0.04	-0.27	1.11	1.46	0.14	1.07	0.03	-0.06	-0.04	0.1	-0.54	-0.27	0.14	-0.18	0.16	0.39	0.97	-0.25	-0.06	0.06	0.37	0.23	-0.32	0.5	
YIL170W	HXT12  TRANSPORT        HEXOSE PERMEASE	0.37	0.43	0.12	0.01	-0.17	0.11	-0.15	-0.22	-0.12	0.08	-0.03	0.21	0.07	-0.27	-0.25	-0.23	-0.4	-0.17	-0.32	-0.2	0.16	-0.29	-0.1	-0.36	-0.36	0.01	-0.15	-0.22	-0.12	-0.06	-0.45	0.07	-0.18	0.66	0.07	-0.23	-0.34	-0.17	-0.38	-0.56	-0.22	-0.17	-0.38	0.21	-0.29	-0.1	0.06	-0.18	0.4	1.14	1.4	1.23	1.08	-0.38	0.14	-0.29	1.28	1.37	0.37	0.45	0.11	-0.04	0.3	0.14	-0.18	-0.36	0.15	0.07	0.12	0.5	0.57	-0.04	-0.79	-0.56	0.12	-0.58	-0.69	0.41	0.32
YIL171W	HXT12  TRANSPORT        HEXOSE PERMEASE	0.6	0.41	0.58	0.5	0.23	0.36	0.1	0.21	0.16	0.08	0.66	0.21	0.33	0.37	0.16	0.16	-0.06	0.1	0.21	-0.17	-0.1	-0.27	-0.27	-0.25	-0.36	-0.22	-0.51	-0.58	-0.3	-0.79	-0.23	-0.09	-0.01	0.72	0.01	-0.71	-0.81	-0.47	-0.3	-0.86	-0.51	-0.23	-0.84	-0.17	-0.38	-0.32	0.03	-0.03	0.61	1.2	1.47	0.96	0.61	-0.42	0.18	-0.1	1.24	1.07	-0.03	0.26	0.41	-0.04	0.08	0.37	0.01	0.6	0.44	-0.6	0.04	0.82	0.94	0.19	-0.38	-0.3	0.12	-0.12	-0.34	0.42	0.12
YBR088C	POL30  DNA REPLICATION     DNA POLYMERASE PROCESSIVITY FACTOR	-1.47	-1.18	0.89	1.29	0.8	-0.17	-0.76	0.48	-1.56	-0.94	0.3	0.97	0.76	-0.06	-0.29	-0.84	-1.12	-1.22	-2.12	-2.18	-1.32	-0.49	0.2	0.1	0.28	-0.06	-0.3	-0.49	-0.49	-0.97	-1.25	-1.06	-0.29	0.96	-0.43	-0.6	-1.94	-2.4	0.7	1.73	0.96	-0.69	-1.25	-0.67	0.19	-0.01	0.08	-0.17	2.57	2.2	1.58	0.49	0.14	1.15	-0.86	-1.74	3.24	1.7	-0.71	-0.76	-1.36	-0.97	-1.12	-1.47	-0.18	-0.22	-0.89	-0.92	0.53	-0.03	-1.12	-1.29	0.41	0.14	-0.06	-0.58	-0.34	-0.69	-1.47
YJR043C	POL32  DNA REPLICATION     POLYMERASE DELTA 55 KD SUBUNIT	-0.32	-0.47	0.24	0.24	0.28	-0.25	-0.06	-0.2	-0.2	-0.18	-0.15	0.01	0.16	-0.54	-0.2	-0.45	0.01	-0.32	-0.86	-0.76	-0.69	-0.4	0.04	0.14	-0.2	-0.03	-0.22	-0.09	-0.29	-0.51	-0.58	-0.38	0.08	0.3	0.73	-0.2	-0.43	-0.4	0.25	0.23	0.08	-0.32	-0.49	-0.51	0.25	-0.22	0.12	-0.36	1.24	0.95	0.75	0.12	-0.62	0.3	-0.71	-1.6	1.21	0.91	-0.47	-1.22	0.11	0.07	-0.67	-0.29	-0.04	0.1	-0.43	-0.38	-0.58	0.53	-0.47	-0.64	-0.12	-0.43	-0.15	-0.32	-0.32	-0.36	-1.43
YOR362C	PRE10  PROTEIN DEGRADATION    20S PROTEASOME SUBUNIT C1 (ALPHA7)	-0.17	0.25	-0.12	0.12	-0.18	-0.2	0.08	-0.17	0.06	0.24	-0.04	0.04	-0.09	-0.67	-0.25	-0.56	-0.25	-0.18	0.65	0.52	-0.06	-0.23	-0.22	-0.12	0.07	0.51	0.4	0.49	0.37	0.54	0.57	0.5	-0.94	0.12	0.46	-0.32	-0.3	-0.01	-0.17		0.24	-0.15	-0.34	-0.4	-0.32	-0.18	-0.2	-0.2	0.7	0.76	0.33	-0.27	-0.62	0.04	-0.58	-1.03	1.23	1.85	-0.23	-0.2	0.03	-0.22	-0.54	-0.47	0.2	0.45	0.4	0.33	-0.6	-0.03	-0.6	-0.12	0.12	-0.12	0.16	0.08	-0.18	0.51	-0.62
YPR103W	PRE2   PROTEIN DEGRADATION    20S PROTEASOME SUBUNIT (BETA5)	-0.01	-0.2	0.07	-0.17	-0.09	-0.22	0.21	-0.06	0.03	-0.1	-0.15	-0.36	-0.1	-0.69	-0.04	-0.58	0.24	0.43	0.64	0.1	-0.34	-0.22	-0.2	-0.09	-0.12	0.5	0.44	0.18	-0.09	0.31	0.2	0.34	-0.47	-0.51	-0.25	-0.18	-0.03	-0.07	0.12	0.1	0.14	0.18	0.34	-0.45	0.84	0.63	0.89	-0.34	0.49	0.55	0.61	-0.29	-0.51	-0.18	-0.38	-1.47	0.63	1.9	-0.36	-0.22	-0.18	-0.71	-0.45	-0.43	0.64	0.24	0.48	0.42	-0.42	0.07	-0.47	-0.03	0.01	-0.04	-0.14	-0.51	-0.2	-0.04	-1.09
YJL001W	PRE3   PROTEIN DEGRADATION    20S PROTEASOME SUBUNIT (BETA1)	0.06	0.01	-0.04	-0.22	-0.12	-0.4	-0.01	-0.42	-0.25	-0.18	-0.14	-0.3	-0.1	-0.67	-0.3	-0.56	-0.15	-0.4	0.68	-0.12	-0.42	-0.92	-0.56	-0.54	-0.62	0.03	0.01	-0.12	0.03	0.41	0.25	0.28	-0.64	-0.76	-0.62	-0.38	-0.43	-0.56	-0.07	0.11	-0.03	-0.01	0.15	-0.79	0.53	0.48	0.62	-0.23	0.73	0.91	0.89	-0.2	-0.58	0.1	-0.36	-1.36	0.7	1.61	-0.2	-0.09	0.14	-0.47	-0.3	-0.58	0.39	0.33	0.32	-0.06	-0.32	-0.03	-0.58	-0.51	0.06	0.01	0.06	-0.32	-0.22	0.33	-0.86
YGR135W	PRE9   PROTEIN DEGRADATION    20S PROTEASOME SUBUNIT Y13 (ALPHA3)	-0.01	-0.04	-0.1	0.24	-0.38	0.14	-0.07	-0.03	0.18	0.2	0.23	-0.07	-0.06	-0.32	-0.17	-0.09	-0.23	-0.06	0.75	0.43	0.19	-0.32	-0.36	-0.25	-0.34	0.08	-0.07	0.12	0.12	0.26	0.1	0.23	0.08	0.11	-0.14	-0.25	-0.34	-0.17	0.06	0.19	0.1	0.26	0.28	0.87	0.58	0.41	0.64	0.11	1	1.1	0.98	0.1	-0.18	-0.27	-0.43	-1.69	1.11	2.02	-0.38	-0.6	-0.3	-0.86	-0.79	-0.71	0.34	0.57	0.41	0.1	-0.79	-0.32	-0.86	-0.45	0.07	-0.06	0.46	0.2	-0.01	0.57	-0.15
