#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/bayseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//bayseq/bayseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//bayseq/bayseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//bayseq/bayseq_package_default.db
# Output created at: 08:07:38
GeneID	log2foldchange	significance	WT	Snf2	GeneName	Description	Chromosome	Start	End	Strand
YMR050C	-2.03834942599587	0	2916.71	710.05	YMR050C	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XIII	373057	378325	-1
YER138C	-2.19688567176446	0	2518.34	549.27	YER138C	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	V	443756	449024	-1
YGR027W-B	-2.11512823499279	0	2838.34	655.16	YGR027W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VII	536057	541325	1
YPL257W-B	-2.2069800248634	0	2192.05	474.77	YPL257W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XVI	56748	62016	1
YJR029W	-2.04451384950102	0	2696.2	653.57	YJR029W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	X	478344	483612	1
YGR038C-B	-1.99951529711556	0	2499.8	625.16	YGR038C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VII	562199	567467	-1
YDR365W-B	-2.08589737138094	0	2325.71	547.82	YDR365W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	1206997	1212265	1
YML045W	-2.06159292366003	0	2595.56	621.77	YML045W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XIII	184461	189729	1
YLR227W-B	-2.09085130440079	0	2307.17	541.59	YLR227W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XII	593438	598706	1
YFR053C	-1.69780235823673	0	9647.49	2973.89	HXK1	Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves the hexokinase Hxk2p 	VI	253592	255049	-1
YGR189C	0.883434654303744	0	5008.63	9239.73	CRH1	Chitin transglycosylase that functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress 	VII	876669	878192	-1
YMR120C	-2.19127641037072	0	3136.68	686.8	ADE17	Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p; ade16 ade17 mutants require adenine and histidine 	XIII	507502	509280	-1
YOR374W	0.845314465020539	0	7040.15	12648.73	ALD4	Mitochondrial aldehyde dehydrogenase, required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed 	XV	1039840	1041399	1
YAR009C	-2.18839825392113	0	1977.12	433.77	YAR009C	Retrotransposon TYA Gag and TYB Pol genes; in YARCTY1-1 TYB is mutant and probably non-functional 	I	160597	164187	-1
YLR413W	-2.04759847335534	0	3903.32	944.16	YLR413W	Putative protein of unknown function; YLR413W is not an essential gene 	XII	951156	953183	1
YGR035C	-3.42461585956412	0	675.51	62.91	YGR035C	Putative protein of unknown function, potential Cdc28p substrate; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance 	VII	557072	557422	-1
YPR158W-B	-2.06152399690992	0	2286.54	547.77	YPR158W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XVI	844709	849980	1
YPR137C-B	-2.0181085262148	0	2168.61	535.39	YPR137C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XVI	805001	810269	-1
YNL284C-B	-1.88044262804149	0	3164.76	859.55	YNL284C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XIV	96964	102232	-1
YGR051C	2.78390060661501	0	65.29	449.66	YGR051C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YGR051C is not an essential gene 	VII	592906	593229	-1
YNL160W	-2.28890616106349	0	1841.66	376.86	YGP1	Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; has similarity to Sps100p 	XIV	336545	337609	1
YDR316W-B	-2.02190480802374	0	2274.27	560	YDR316W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	1096064	1101332	1
YMR045C	-1.99580558132895	0	2349.24	589.02	YMR045C	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XIII	357359	362627	-1
YOR273C	-1.98593767687313	0	3267	824.75	TPO4	Polyamine transport protein, recognizes spermine, putrescine, and spermidine; localizes to the plasma membrane; member of the major facilitator superfamily 	XV	834452	836431	-1
YLR035C-A	-1.83026826791075	0	1426.68	401.2	YLR035C-A	Retrotransposon TYA Gag and TYB Pol genes; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); YLR035C-A is part of a mutant retrotransposon 	XII	215440	218907	-1
YOL155C	-1.96284518930602	0	3238.24	830.68	HPF1	Haze-protective mannoprotein that reduces the particle size of aggregated proteins in white wines 	XV	28703	31606	-1
YPR160W	-2.1137254779066	0	3349.93	774	GPH1	Non-essential glycogen phosphorylase required for the mobilization of glycogen, activity is regulated by cyclic AMP-mediated phosphorylation, expression is regulated by stress-response elements and by the HOG MAP kinase pathway 	XVI	861306	864014	1
YJL077C	2.15835274058073	0	106.95	477.43	ICS3	Protein of unknown function; may play a role in vacuolar sorting, null mutants are hypersensitive to sortin2 	X	294666	295061	-1
YHR214C-B	-1.92231247305975	0	2422.95	639.25	YHR214C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VIII	543964	549346	-1
YBR011C	0.650120944665896	0	8684.88	13629.18	IPP1	Cytoplasmic inorganic pyrophosphatase (PPase), homodimer that catalyzes the rapid exchange of oxygens from Pi with water, highly expressed and essential for viability, active-site residues show identity to those from E. coli PPase 	II	257112	257975	-1
YPL025C	3.95594983951948	0	16.71	259.32	YPL025C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	XVI	502473	503030	-1
YDR098C-B	-1.86727223594186	0	2096.93	574.75	YDR098C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	645858	651126	-1
YDR210C-D	-1.82380136145054	0	2136.29	603.45	YDR210C-D	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	878659	883927	-1
YFR055W	-1.77458112786432	0	1461.24	427.09	IRC7	Beta-lyase involved in the production of thiols; null mutant displays increased levels of spontaneous Rad52p foci; expression induced by nitrogen limitation in a GLN3, GAT1-dependent manner and by copper levels in a Mac1-dependent manner 	VI	264204	265226	1
YER160C	-1.96271424108154	0	2110.66	541.48	YER160C	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	V	492856	498124	-1
YMR056C	2.30654846290317	0	175.41	867.75	AAC1	Mitochondrial inner membrane ADP/ATP translocator, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator 	XIII	387315	388244	-1
YOR142W-B	-1.8823158441885	0	1948.07	528.41	YOR142W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XV	595112	600380	1
YGR161C-D	-1.80566375391098	0	2323.27	664.57	YGR161C-D	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VII	817747	823015	-1
YBL005W-B	-1.92070639932237	0	2187.41	577.75	YBL005W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	II	221330	226598	1
YBR093C	-2.0161810305897	0	1867.63	461.7	PHO5	Repressible acid phosphatase (1 of 3) that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2 	II	429548	430951	-1
YOR348C	2.52631860981217	0	85.02	489.8	PUT4	Proline permease, required for high-affinity transport of proline; also transports the toxic proline analog azetidine-2-carboxylate (AzC); PUT4 transcription is repressed in ammonia-grown cells 	XV	986899	988782	-1
YOL110W	1.86020819801023	0	383	1390.52	SHR5	Subunit of a palmitoyltransferase, composed of Shr5p and Erf2p, that adds a palmitoyl lipid moiety to heterolipidated substrates such as Ras1p and Ras2p through a thioester linkage; palmitoylation is required for Ras2p membrane localization 	XV	109176	109889	1
YLR258W	-1.87584070574764	0	5286.27	1440.34	GSY2	Glycogen synthase, similar to Gsy1p; expression induced by glucose limitation, nitrogen starvation, heat shock, and stationary phase; activity regulated by cAMP-dependent, Snf1p and Pho85p kinases as well as by the Gac1p-Glc7p phosphatase 	XII	660716	662833	1
YMR122C	2.50739096440255	0	67.56	384.14	YMR122C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data 	XIII	510701	511075	-1
YBR012W-B	-1.76690512995239	0	1756.85	516.23	YBR012W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	II	259869	265140	1
YAL038W	-0.95110518212607	0	26805.98	13865.02	CDC19	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration 	I	71786	73288	1
YLR300W	-1.0260076328265	0	6460.46	3172.52	EXG1	Major exo-1,3-beta-glucanase of the cell wall, involved in cell wall beta-glucan assembly; exists as three differentially glycosylated isoenzymes 	XII	728955	730301	1
YNL054W-B	-1.69323966468393	0	1844.83	570.48	YNL054W-B	TyB Gag-Pol protein; proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition 	XIV	519456	524706	1
YKL062W	-1.91499748313101	0	1741.32	461.75	MSN4	Transcriptional activator related to Msn2p; activated in stress conditions, which results in translocation from the cytoplasm to the nucleus; binds DNA at stress response elements of responsive genes, inducing gene expression 	XI	323228	325120	1
YJR010W	1.61712616920697	0	395.07	1211.93	MET3	ATP sulfurylase, catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism 	X	456239	457774	1
YOL158C	-1.48431110671711	0	2629.07	939.68	ENB1	Endosomal ferric enterobactin transporter, expressed under conditions of iron deprivation; member of the major facilitator superfamily; expression is regulated by Rcs1p and affected by chloroquine treatment 	XV	19491	21311	-1
YDR406W	-1.73832778514364	0	2193.37	657.39	PDR15	Plasma membrane ATP binding cassette (ABC) transporter, multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element 	IV	1279210	1283799	1
YPR015C	1.97426312934309	0	73.1	287.23	YPR015C	Putative protein of unknown function; overexpression causes a cell cycle delay or arrest 	XVI	590283	591026	-1
YKR039W	2.10327481922726	0	399.85	1718.09	GAP1	General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed 	XI	515063	516871	1
YKL109W	-1.86666740208188	0	2568.98	704.43	HAP4	Subunit of the heme-activated, glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; provides the principal activation function of the complex 	XI	232227	233891	1
YGL028C	-1.3964564635221	0	1149.71	436.73	SCW11	Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on its regulation by Ste12p 	VII	441281	442909	-1
YKR080W	-2.19220421143489	0	2182.83	477.64	MTD1	NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase, plays a catalytic role in oxidation of cytoplasmic one-carbon units; expression is regulated by Bas1p and Bas2p, repressed by adenine, and may be induced by inositol and choline 	XI	590395	591357	1
YLR058C	-1.77085868001892	0	5209.22	1526.48	SHM2	Cytosolic serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis 	XII	257992	259401	-1
YDR399W	-1.60559545144368	0	2421.85	795.82	HPT1	Dimeric hypoxanthine-guanine phosphoribosyltransferase, catalyzes the formation of both inosine monophosphate and guanosine monophosphate; mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome 	IV	1270068	1270733	1
YML122C	3.40917787166676	0	11.95	126.95	YML122C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	XIII	26038	26418	-1
YDR055W	-1.85195319622884	0	2437.07	675.11	PST1	Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1 	IV	563527	564861	1
YJL012C	-1.14356676946759	0	3287.63	1488.11	VTC4	Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion 	X	411234	413399	-1
YAL061W	-1.93068363612618	0	2199.54	576.95	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3 	I	33448	34701	1
YBR296C	-2.80706395639482	0	991.56	141.68	PHO89	Na+/Pi cotransporter, active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p 	II	796798	798522	-1
YHL047C	-1.5592632664868	0	2359.1	800.5	ARN2	Transporter, member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C 	VIII	8351	10213	-1
YPL095C	-1.71348102940563	0	969.85	295.73	EEB1	Acyl-coenzymeA:ethanol O-acyltransferase responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification 	XVI	368071	369441	-1
YLR160C	1.08400663488228	0	2805.73	5947.91	ASP3-4	Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; reference strain S288C has four copies of ASP3 	XII	486201	487289	-1
YLR327C	-1.90485250937184	0	3780.88	1009.66	TMA10	Protein of unknown function that associates with ribosomes; putative homolog of the F1F0-ATPase synthase regulator Stf2p 	XII	783127	783387	-1
YKL182W	-0.839445665689046	0	8586.9	4798.86	FAS1	Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities 	XI	100671	106826	1
YCL043C	0.587700300688439	0	9216.46	13850.95	PDI1	Protein disulfide isomerase; multifunctional protein resident in the endoplasmic reticulum lumen, essential for the formation of disulfide bonds in secretory and cell-surface proteins, unscrambles non-native disulfide bonds; forms a complex with Mnl /.../t has exomannosidase activity, processing unfolded protein-bound Man8GlcNAc2 oligosaccharides to Man7GlcNAc2 which promotes degradation in the unfolded protein response 	III	48653	50221	-1
YIL094C	-0.85686640174847	0	2592.59	1431.5	LYS12	Homo-isocitrate dehydrogenase, an NAD-linked mitochondrial enzyme required for the fourth step in the biosynthesis of lysine, in which homo-isocitrate is oxidatively decarboxylated to alpha-ketoadipate 	IX	186517	187632	-1
YER001W	-2.08057150990133	0	1034.85	244.66	MNN1	Alpha-1,3-mannosyltransferase, integral membrane glycoprotein of the Golgi complex, required for addition of alpha1,3-mannose linkages to N-linked and O-linked oligosaccharides, one of five S. cerevisiae proteins of the MNN1 family 	V	153520	155808	1
